method,size,task,seed,condition,accuracy,precision,f1,recall,fpr,train_seconds
byte_tcn_fusion,784,behavior14,42,random_delay:medium,0.9547909581916383,0.9546906226370456,0.9544556882586628,0.9547909581916383,0.003621177581159562,71.53777885437012
byte_tcn_fusion,784,behavior14,42,traffic_shaping:medium,0.9547909581916383,0.954668314700062,0.9544082492933332,0.9547909581916383,0.0036213122791640593,71.53777885437012
byte_tcn_fusion,784,behavior14,42,combined:medium,0.8445689137827566,0.8798534821904053,0.8493917154108623,0.8445689137827566,0.01336517902423536,71.53777885437012
byte_tcn_fusion,784,behavior14,43,clean,0.95499099819964,0.9518442265240695,0.9505213189591893,0.95499099819964,0.0036960384554048883,40.06495976448059
byte_tcn_fusion,784,behavior14,43,random_padding:medium,0.9035807161432287,0.9143432982960217,0.9025347641695209,0.9035807161432287,0.00808007758206909,40.06495976448059
byte_tcn_fusion,784,behavior14,43,random_delay:medium,0.9551910382076415,0.9520946167831509,0.9507392854103628,0.9551910382076415,0.003675832353162011,40.06495976448059
byte_tcn_fusion,784,behavior14,43,traffic_shaping:medium,0.9545909181836367,0.9520620266178381,0.9501879031139777,0.9545909181836367,0.0037012966167196825,40.06495976448059
byte_tcn_fusion,784,behavior14,43,combined:medium,0.9069813962792559,0.9202517555711388,0.9052878140221355,0.9069813962792559,0.007769320908449009,40.06495976448059
byte_tcn_fusion,784,behavior14,44,clean,0.9519903980796159,0.9500794682893499,0.9489991049616904,0.9519903980796159,0.003952217474487379,50.996718883514404
byte_tcn_fusion,784,behavior14,44,random_padding:medium,0.8209641928385677,0.8448813142091306,0.8117083844548042,0.8209641928385677,0.016562600192126603,50.996718883514404
byte_tcn_fusion,784,behavior14,44,random_delay:medium,0.9521904380876175,0.9502947267990517,0.9492100426383747,0.9521904380876175,0.003937687659306628,50.996718883514404
byte_tcn_fusion,784,behavior14,44,traffic_shaping:medium,0.9517903580716143,0.9498578728498139,0.9487810036819257,0.9517903580716143,0.00396674728966813,50.996718883514404
byte_tcn_fusion,784,behavior14,44,combined:medium,0.8229645929185837,0.848833174628782,0.8125541740561922,0.8229645929185837,0.01652187526574119,50.996718883514404
byte_tcn_fusion,4096,behavior14,42,clean,0.9531906381276255,0.9505221189721266,0.9509262420766768,0.9531906381276255,0.003994457400602925,120.98601770401001
byte_tcn_fusion,4096,behavior14,42,random_padding:medium,0.9371874374874976,0.9340202830442451,0.9340091212335802,0.9371874374874976,0.005589560382535283,120.98601770401001
byte_tcn_fusion,4096,behavior14,42,random_delay:medium,0.9531906381276255,0.9505221189721266,0.9509262420766768,0.9531906381276255,0.003994457400602925,120.98601770401001
byte_tcn_fusion,4096,behavior14,42,traffic_shaping:medium,0.9531906381276255,0.9505221189721266,0.9509262420766768,0.9531906381276255,0.003994457400602925,120.98601770401001
byte_tcn_fusion,4096,behavior14,42,combined:medium,0.9375875175035007,0.9343635017933816,0.9346329912949186,0.9375875175035007,0.005531369301017189,120.98601770401001
