round_id,round,method,size,task,seed,accuracy,precision,f1,recall,fpr
round1,Round 1: per-pcap stats + session split,resnet18,784,behavior14,42,0.952533969886155,0.9508263984616756,0.9513842311284298,0.952533969886155,0.0045074117475312
round1,Round 1: per-pcap stats + session split,resnet18,784,binary2,42,0.9982556004406904,0.9982495866123942,0.9982492547081904,0.9982556004406904,0.0121473861283643
round1,Round 1: per-pcap stats + session split,resnet18,8100,behavior14,42,0.956665442526625,0.954746334104252,0.9555167895213282,0.956665442526625,0.0040430873959141
round1,Round 1: per-pcap stats + session split,resnet18,8100,binary2,42,0.9989900844656628,0.99898945857585,0.9989864106205312,0.9989900844656628,0.0085519262052647
round1,Round 1: per-pcap stats + session split,rf,4096,behavior14,42,1.0,1.0,1.0,1.0,0.0
round1,Round 1: per-pcap stats + session split,rf,4096,binary2,42,1.0,1.0,1.0,1.0,0.0
round1,Round 1: per-pcap stats + session split,rf,784,behavior14,42,1.0,1.0,1.0,1.0,0.0
round1,Round 1: per-pcap stats + session split,rf,784,binary2,42,1.0,1.0,1.0,1.0,0.0
round1,Round 1: per-pcap stats + session split,rf,8100,behavior14,42,1.0,1.0,1.0,1.0,0.0
round1,Round 1: per-pcap stats + session split,rf,8100,binary2,42,1.0,1.0,1.0,1.0,0.0
round1,Round 1: per-pcap stats + session split,xgb,4096,behavior14,42,1.0,1.0,1.0,1.0,0.0
round1,Round 1: per-pcap stats + session split,xgb,4096,binary2,42,1.0,1.0,1.0,1.0,0.0
round1,Round 1: per-pcap stats + session split,xgb,784,behavior14,42,1.0,1.0,1.0,1.0,0.0
round1,Round 1: per-pcap stats + session split,xgb,784,binary2,42,1.0,1.0,1.0,1.0,0.0
round1,Round 1: per-pcap stats + session split,xgb,8100,behavior14,42,1.0,1.0,1.0,1.0,0.0
round1,Round 1: per-pcap stats + session split,xgb,8100,binary2,42,1.0,1.0,1.0,1.0,0.0
round2,Round 2: per-pcap stats + pcap split,ande,4096,behavior14,42,0.7032186150202034,0.7982828017172985,0.723050499167604,0.7032186150202034,0.0234700661570272
round2,Round 2: per-pcap stats + pcap split,ande,4096,binary2,42,0.999097065462754,0.999094883932098,0.9990953656550317,0.999097065462754,0.0079690190170605
round2,Round 2: per-pcap stats + pcap split,ande,784,behavior14,42,0.6215689006548697,0.721842305219191,0.6151583618530604,0.6215689006548697,0.030416860899538
round2,Round 2: per-pcap stats + pcap split,ande,784,binary2,42,0.9989465763732128,0.9989488479415768,0.9989475618784605,0.9989465763732128,0.0061724130341211
round2,Round 2: per-pcap stats + pcap split,ande,8100,behavior14,42,0.6579350703636617,0.7399118153544137,0.660214335492053,0.6579350703636617,0.0295669820312539
round2,Round 2: per-pcap stats + pcap split,ande,8100,binary2,42,0.9960872836719338,0.9961209748803062,0.9961018366328142,0.9960872836719338,0.0226582676279542
round2,Round 2: per-pcap stats + pcap split,ande_no_se,4096,behavior14,42,0.611258185871534,0.7263278186868307,0.5784644727553613,0.611258185871534,0.0337385644961457
round2,Round 2: per-pcap stats + pcap split,ande_no_se,4096,binary2,42,0.9966892400300978,0.9966779556242864,0.996683007401783,0.9966892400300978,0.0242200950853028
round2,Round 2: per-pcap stats + pcap split,ande_no_se,784,behavior14,42,0.5992754632854953,0.7061788050914718,0.570295486329431,0.5992754632854953,0.0345733948580143
round2,Round 2: per-pcap stats + pcap split,ande_no_se,784,binary2,42,0.9986455981941308,0.9986558448061073,0.9986493840241932,0.9986455981941308,0.0063289320511817
round2,Round 2: per-pcap stats + pcap split,ande_no_se,8100,behavior14,42,0.6743764804235753,0.7800475516941092,0.6665452913406145,0.6743764804235753,0.0260996494299921
round2,Round 2: per-pcap stats + pcap split,ande_no_se,8100,binary2,42,0.9977426636568848,0.9977387209895846,0.9977405432350136,0.9977426636568848,0.016172816559712
round2,Round 2: per-pcap stats + pcap split,cnn1d,4096,behavior14,42,0.5580326041521527,0.4261588976302953,0.4648651752795597,0.5580326041521527,0.0436263052623041
round2,Round 2: per-pcap stats + pcap split,cnn1d,4096,binary2,42,0.9968397291196388,0.9968100040424492,0.9968125684807936,0.9968397291196388,0.0297664320511817
round2,Round 2: per-pcap stats + pcap split,cnn1d,784,behavior14,42,0.5617946217082347,0.4501148960283213,0.4522412753490338,0.5617946217082347,0.0432136358349208
